tweets,Sentiment_type
"The Rivers State GOC, commander of the 6th Division who commanded the soldiers that carried out Obigbo massacre during and after the Peaceful #EndSARS protest is dead.
Stay away from evil; especially wasting the blood of the innocent.@General_Somto @MaziNnamdiKanu @EmekaGift https://t.co/DaYyND4MEM",Negative
#EndSars: FG Created Over N25B To Supplement The Plan For Youth Funding Programme blendng.com/endsars-fg-cre…,Neutral
"I repeat again this @MBuhari regime has shown government and security officials as been tyrannical and dictatorial . It’s literally a crime now to criticize government.
#EndSARS #EndBadGovernanceInNigeria",Neutral
"Bandits actions are being justified as mere action,meanwhile some children are somewhere in the forests scared for their lives and wondering if they will see their loved ones tomorrow, but the #EndSARS movement is being justified as criminal act🤷‍♀️. Who is the criminal? #Nigeria https://t.co/YE34n4ING5",Positive
#EndSARS #EndBadGoveranceInNigeria twitter.com/PeterROCK_/sta…,Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia mingooland.com/2021/02/endsar…,Neutral
"@BashirAhmaad Congrats oo Nigerians 🇳🇬 Our Tokunbo Vaccines is here ooooo🤣🤣😂😂😂

#EndBadGovernanceInNigeria 
#EndPoliceBrutalityinNigeria 
#EndSARS",Neutral
"UPDATE FROM RIVERS STATE

The Rivers State GOC, commander of the 6th Division who commanded the soldiers that carried out Obigbo massacre during and after the Peaceful #EndSARS protest by Wike is dead.
#Copied Rising Sun Biafra https://t.co/ebRgUUQy2u",Positive
"@todayng We were and are still talking of the intractable insecurity in #Nigeria as the government is complicit. This was before 😅😅 the rude interruption. If you may, let's get back to that. #EndSARS, #Pointofnoreturn",Negative
"Please retweet...recorded with my phone
@burnaboy @burnaboy @Bujutoyourears @davido @mbahdey4u @shank_comics @TundeEddnut @djkaywise @cuppymusic @deejayneptune @DJ_TUNEZ #EndBadGovernanceInNigeria #EndSARS 
Please help me retweet and tag
My helper may be in your tl.
Thanks. https://t.co/jkE5Fuc33i",Positive
"@MBuhari @NGRPresident is rewarding bad behavior. You continue to pay terrorists after every kidnapping incident, that will lead to an increase. @MBuhari and the terrorists work hand in hand. #Revolutionnow #EndSARS #BuhariMustGo twitter.com/MBuhari/status…",Negative
"#EndSARS movement exposed many things in Nigeria. 

You wonder why Osibanjo is using power bank in the villa?  That's to tell you we have incompetent guys running our economy. 

Dawisu is said to be a legend.",Positive
